,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Viva Las Vengeance,Viva Las Vengeance,Panic! At The Disco,2022-06-01,206580,58,0.211,1.25e-05,0.211,0.821,0.0329,0.104,-5.423,0.0732,153.742,4
1,SUPERMODEL,SUPERMODEL,Måneskin,2022-05-13,148064,84,0.636,0.00164,0.636,0.876,0.0,0.117,-3.413,0.0555,120.983,4
2,maybe (feat. Bring Me The Horizon),mainstream sellout,Machine Gun Kelly,2022-03-25,170133,76,0.601,0.000735,0.601,0.92,0.0,0.0998,-4.802,0.0505,88.014,4
3,The Foundations of Decay,The Foundations of Decay,My Chemical Romance,2022-05-12,360760,77,0.363,0.000582,0.363,0.67,0.548,0.317,-6.652,0.0552,150.15,4
4,Black Summer,Unlimited Love,Red Hot Chili Peppers,2022-04-01,232412,70,0.417,0.0267,0.417,0.682,0.000669,0.109,-5.071,0.0295,105.542,4
5,The Funeral,The Funeral,YUNGBLUD,2022-03-11,211197,68,0.576,8.57e-05,0.576,0.869,7.1e-05,0.0573,-4.339,0.0339,92.538,4
6,Broken,Broken,Palaye Royale,2022-05-20,190657,60,0.492,0.105,0.492,0.718,0.0,0.0895,-6.529,0.0711,140.143,4
7,Epiphany,Mammoth WVH,Mammoth WVH,2021-06-11,268921,52,0.439,5.29e-05,0.439,0.894,0.0147,0.115,-4.973,0.0894,165.087,4
8,So Called Life,So Called Life,Three Days Grace,2021-11-29,206276,64,0.502,0.00021,0.502,0.905,0.0,0.0601,-4.162,0.0634,160.064,4
9,Wild Child,Wild Child,The Black Keys,2022-03-10,164866,67,0.68,0.017,0.68,0.639,5.09e-06,0.0398,-6.233,0.0278,106.991,4
10,All Comes Crashing,All Comes Crashing,Metric,2022-04-28,263080,59,0.7,0.00606,0.7,0.686,0.000345,0.447,-6.888,0.0343,111.021,4
11,Hayloft II,Inside (Deluxe),Mother Mother,2022-01-28,215040,78,0.326,0.0044,0.326,0.866,7.37e-06,0.0912,-4.541,0.101,178.181,4
12,Spitting Off the Edge of the World,Spitting Off the Edge of the World,Yeah Yeah Yeahs,2022-06-01,257746,42,0.416,0.00349,0.416,0.717,3.36e-06,0.0627,-5.872,0.0357,109.947,4
13,Everything's Electric,C’MON YOU KNOW (Deluxe Edition),Liam Gallagher,2022-05-27,216859,56,0.409,0.00435,0.409,0.969,0.000124,0.0602,-2.423,0.0706,166.02,4
14,DIE OUT HERE (feat. POORSTACY),DIE OUT HERE (feat. POORSTACY),DE'WAYNE,2022-04-08,134266,56,0.593,0.0095,0.593,0.849,0.0,0.234,-5.727,0.0911,75.021,4
15,Faded Out (feat. Within Temptation),Faded Out (feat. Within Temptation),Asking Alexandria,2022-05-20,185542,62,0.478,0.000151,0.478,0.937,0.0,0.198,-4.775,0.0938,74.966,4
16,Loved You A Little (with Taking Back Sunday and Charlotte Sands),Loved You A Little (with Taking Back Sunday and Charlotte Sands),The Maine,2022-01-20,207280,65,0.484,0.0288,0.484,0.828,0.0,0.313,-5.197,0.0543,195.999,4
17,how could you do this to me? feat. Kellin Quinn from Sleeping With Sirens,how could you do this to me? feat. Kellin Quinn from Sleeping With Sirens,Maggie Lindemann,2022-04-29,160000,61,0.501,0.0123,0.501,0.853,1.66e-05,0.411,-6.677,0.113,96.025,4
18,.intoodeep.,-!-,Dead Poet Society,2021-03-12,219906,58,0.592,0.00039,0.592,0.674,1.26e-05,0.354,-6.26,0.0417,124.928,4
19,What's the Trick?,Fear Of The Dawn,Jack White,2022-04-08,214842,59,0.375,0.000867,0.375,0.71,0.00628,0.104,-8.665,0.267,97.335,4
20,Roadkill,Roadkill,Starcrawler,2022-05-09,142507,47,0.468,0.00371,0.468,0.959,0.000249,0.139,-3.302,0.0666,159.948,4
21,MYSTERY,GLOW ON,Turnstile,2021-08-27,155199,63,0.403,0.00374,0.403,0.892,0.0113,0.882,-6.244,0.0913,163.991,4
22,CASUALTY,CASUALTY,MOTHICA,2022-01-28,158081,57,0.513,0.00219,0.513,0.916,0.00113,0.338,-3.191,0.0987,96.095,4
23,Planet Zero,Planet Zero,Shinedown,2022-01-26,222738,64,0.416,2.35e-05,0.416,0.964,0.000875,0.473,-2.967,0.112,157.925,4
24,Bones,Bones,Imagine Dragons,2022-03-11,165264,87,0.773,0.0206,0.773,0.742,0.0,0.0754,-3.678,0.046,114.071,4
25,A Little Bit of Love,A Little Bit of Love,Weezer,2022-03-16,164359,60,0.586,0.0135,0.586,0.83,0.0,0.0993,-6.088,0.0265,92.328,4
26,2am,2am,Foals,2022-02-10,224178,64,0.698,0.000335,0.698,0.794,0.605,0.0622,-3.333,0.0483,135.981,4
27,Lies,Lies,Pale Waves,2022-05-09,170563,56,0.519,0.0169,0.519,0.89,0.0,0.312,-2.75,0.0817,170.059,4
28,FUNERAL GREY,FUNERAL GREY,Waterparks,2022-05-13,164138,64,0.645,0.0202,0.645,0.85,0.0,0.656,-3.627,0.0898,145.971,4
29,Honeybrains,Honeybrains,Royal Blood,2022-03-17,186847,60,0.523,0.00537,0.523,0.8,0.0,0.398,-5.243,0.101,125.886,3
30,Fuck Me (I Didn’t Know How To Say),Fuck Me (I Didn’t Know How To Say),Crawlers,2022-05-24,186786,54,0.521,0.0263,0.521,0.679,0.00122,0.0911,-6.093,0.0892,179.346,4
31,Sugar,Sugar,Surf Curse,2022-03-30,162880,58,0.606,0.122,0.606,0.696,0.000188,0.157,-5.153,0.0613,121.347,4
32,Smile,Smile,Wolf Alice,2021-04-21,196804,0,0.368,0.000153,0.368,0.769,0.919,0.0657,-5.002,0.0731,187.239,4
33,Life's Coming in Slow - from GRAN TURISMO 7,Life's Coming in Slow (from GRAN TURISMO 7),Nothing But Thieves,2022-02-18,169655,61,0.507,0.000544,0.507,0.973,0.0139,0.386,-3.773,0.0504,148.044,4
34,Wake Me Up (When This Nightmare’s Over),Harder Than It Looks,Simple Plan,2022-05-06,216474,53,0.52,0.000326,0.52,0.829,2.3e-06,0.175,-3.166,0.0369,84.434,4
35,when we were young,when we were young,Architects,2022-04-20,193886,64,0.443,4.42e-05,0.443,0.938,5.71e-06,0.32,-3.01,0.106,169.995,4
36,Won’t Stand Down,Won’t Stand Down,Muse,2022-01-13,209061,67,0.514,0.0043,0.514,0.882,2.52e-06,0.156,-4.406,0.0862,104.85,4
37,PURGE ft. Siiickbrain,PURGE ft. Siiickbrain,WILLOW,2022-04-01,157000,57,0.491,0.000877,0.491,0.852,0.0,0.103,-4.041,0.0736,149.995,4
38,Masterpiece,Masterpiece,Motionless In White,2022-04-14,206648,67,0.324,0.000109,0.324,0.863,0.0,0.311,-3.716,0.123,177.985,4
39,ZOMBIFIED,ZOMBIFIED,Falling In Reverse,2022-01-05,218520,71,0.544,0.000141,0.544,0.911,8.89e-06,0.333,-3.681,0.0422,91.033,4
40,Call Me Little Sunshine,IMPERA,Ghost,2022-03-11,284266,66,0.566,0.000674,0.566,0.871,0.00144,0.107,-4.833,0.0311,88.012,4
41,Foxglove,Foxglove,Boston Manor,2022-04-21,218552,54,0.554,0.00127,0.554,0.846,0.0,0.326,-3.453,0.0427,103.998,4
42,hair out,hair out,Stand Atlantic,2022-03-03,160380,55,0.675,0.000487,0.675,0.897,0.0,0.133,-4.684,0.0769,112.963,4
43,DIRTY WHITE VANS//,DIRTY WHITE VANS//,KennyHoopla,2022-03-18,141090,58,0.496,0.347,0.496,0.786,0.0,0.11,-3.728,0.105,82.538,4
44,In The Mirror,In The Mirror,The Interrupters,2022-04-12,184760,55,0.527,0.00193,0.527,0.93,6.4e-05,0.338,-1.637,0.0491,155.042,4
45,Loser,It Was Fun While It Lasted,Sueco,2022-03-04,133678,64,0.61,0.00317,0.61,0.894,0.0,0.0539,-3.956,0.129,96.622,4
46,Bite Me,Love Sux,Avril Lavigne,2022-02-25,159746,47,0.498,0.00377,0.498,0.806,0.0,0.335,-4.406,0.0679,169.967,4
47,Talk,Talk,beabadoobee,2022-03-24,158293,64,0.451,0.000372,0.451,0.97,0.105,0.222,-4.858,0.0605,113.39,4
48,Roman Candles,Roman Candles,Death Cab for Cutie,2022-05-11,130106,57,0.518,0.000777,0.518,0.757,0.00931,0.115,-8.584,0.0555,129.901,4
49,King,King,Florence + The Machine,2022-02-23,280130,68,0.73,0.142,0.73,0.445,0.00109,0.107,-8.376,0.0446,105.976,4
